mean,var,temp
9.809857,9.6e-05,32.37294
9.794527,0.000606,32.54088
9.796022,0.00018,32.62235
9.808137,0.000205,32.67206
9.810324,0.000261,32.71177
9.809004,0.000146,32.75
9.806241,0.00028,32.79382
9.794486,0.000172,32.8153
9.802788,0.000133,32.84176
9.800855,5.7e-05,32.86147
9.800624,0.000493,32.87941
9.805028,0.000166,32.89118
9.800409,0.000438,32.92
9.79866,0.000168,32.94088
9.800992,7.5e-05,32.96294
9.800714,7.3e-05,32.97588
9.799878,0.000192,32.99088
9.791189,0.000286,33.00912
9.795401,0.006021,33.02177
9.823336,0.010362,33.03176
9.780847,0.021548,33.05735
9.798949,0.000436,33.07147
9.794301,0.000151,33.07
9.798563,0.004446,33.09382
9.806075,0.006499,33.10294
9.758712,0.017039,33.10883
9.738917,0.024382,33.12
9.789897,0.02122,33.13383
9.747595,0.008495,33.13588
9.983506,0.005037,33.15529
9.628284,0.003184,33.16412
9.828439,0.025336,33.17765
10.02614,0.005026,33.17823
9.765177,0.023723,33.18736
9.839724,0.021756,33.19471
9.715381,0.012935,33.20676
9.835857,0.01226,33.20706
9.744537,0.021604,33.22088
9.810615,0.034093,33.22676
9.665873,0.008956,33.23912
9.844913,0.022389,33.24853
9.761236,0.020666,33.24971
9.78123,0.019696,33.24853
9.794378,0.01299,33.25735
9.778467,0.005873,33.27147
9.818044,0.011834,33.27147
9.735757,0.016336,33.28382
9.866411,0.010655,33.28529
9.826532,0.022577,33.295
9.751231,0.021718,33.30794
9.841536,0.01289,33.31088
9.805711,0.012986,33.30824
9.767781,0.009991,33.31676
9.774981,0.011039,33.33265
9.786518,0.01023,33.32883
9.791325,0.011519,33.33118
9.758021,0.009803,33.34588
9.839164,0.005869,33.34647
9.795193,0.018343,33.35059
9.747465,0.009235,33.35441
9.775526,0.015659,33.36471
9.813957,0.016067,33.37559
9.821159,0.022933,33.37177
9.743007,0.016317,33.37794
9.658688,0.002745,33.38324
9.896935,0.002348,33.38589
9.657637,0.014735,33.40618
9.879873,0.038697,33.39824
9.859426,0.021489,33.405
9.931989,0.030258,33.41353
9.779022,0.03183,33.41294
9.80493,0.044307,33.42294
9.670832,0.001681,33.41824
9.838636,0.009027,33.42059
9.794914,0.00035,33.42147
9.801393,0.000209,33.43177
9.806864,0.010847,33.45118
9.922205,0.013701,33.45206
9.813248,0.005961,33.46912
9.807042,0.03472,33.46676
9.860884,0.047954,33.47941
9.657532,0.004075,33.48382
9.815042,0.030378,33.49265
9.76474,0.041694,33.49382
9.633356,0.004937,33.48647
9.756416,0.023015,33.49
9.7997,0.034881,33.49206
9.768712,0.043562,33.50294
9.849371,0.028541,33.49764
9.815976,0.034524,33.50647
9.77906,0.044146,33.51176
9.884029,0.047987,33.52147
9.872461,0.028112,33.52764
9.829248,0.019358,33.52735
9.766948,0.043674,33.53382
9.695648,0.03349,33.53941
9.770722,0.043439,33.54676
9.784829,0.031404,33.54971
9.725322,0.039043,33.55735
9.811798,0.035344,33.56088
9.812231,0.046722,33.57147
9.694083,0.042982,33.57088
9.802648,0.027766,33.57206
9.807662,0.035543,33.57647
9.75178,0.036776,33.58442
9.911665,0.049717,33.59294
9.762033,0.051055,33.57853
9.729383,0.042245,33.58941
9.750562,0.056887,33.59294
9.776157,0.0595,33.60765
9.794784,0.031858,33.60265
9.843775,0.051669,33.60529
9.686598,0.034488,33.61677
9.83609,0.0552,33.61912
9.79978,0.039592,33.63383
9.747913,0.071315,33.63706
9.787767,0.062915,33.64324
9.813669,0.042935,33.64824
9.781073,0.059698,33.66206
9.796684,0.052659,33.66589
9.832968,0.031831,33.67001
9.841639,0.055728,33.66941
9.788701,0.049795,33.67735
9.760122,0.060978,33.68706
9.720958,0.043906,33.69
9.816157,0.035198,33.69382
9.843378,0.060272,33.69912
9.865904,0.045936,33.70647
9.755582,0.0308,33.71029
9.855464,0.046402,33.70853
9.880083,0.033376,33.71971
9.770482,0.04712,33.72971
9.825137,0.044721,33.72823
9.750807,0.046737,33.73206
9.864627,0.034362,33.73824
9.893242,0.033018,33.74677
9.854863,0.038993,33.76412
9.799584,0.054015,33.75235
9.770978,0.046665,33.76647
9.730229,0.046743,33.76735
9.744551,0.042959,33.77029
9.658615,0.020301,33.78235
9.641129,0.005556,33.78117
9.979637,0.009425,33.7947
9.742332,0.033921,33.78912
9.807466,0.055139,33.78941
9.806662,0.051151,33.79588
9.793175,0.044938,33.81088
9.724329,0.043977,33.81647
9.768358,0.049379,33.815
9.800425,0.039083,33.83
9.853307,0.031945,33.83236
9.750808,0.035823,33.82882
9.788939,0.039243,33.83883
9.797949,0.045242,33.84058
9.775293,0.045096,33.84647
9.81394,0.050212,33.85412
9.80961,0.050163,33.85706
