x,y,z
1.4533,-3.9289,8.8921
1.4653,-3.9145,8.9328
1.4389,-3.9145,8.9064
1.4437,-3.9241,8.9016
1.4437,-3.9193,8.9088
1.4581,-3.9193,8.8992
1.4341,-3.9121,8.9088
1.4413,-3.9193,8.9112
1.4198,-3.9121,8.904
1.4293,-3.9289,8.9184
1.4365,-3.9217,8.9232
1.4222,-3.9313,8.8969
1.4246,-3.9289,8.9328
1.4174,-3.9385,8.8801
1.4317,-3.9193,8.9208
1.4437,-3.9049,8.9136
1.4222,-3.9528,8.9064
1.415,-3.9217,8.8562
1.4222,-3.9313,8.904
1.4509,-3.9217,8.9136
1.4341,-3.948,8.904
1.4413,-3.9313,8.9112
1.4222,-3.9145,8.9232
1.4365,-3.9217,8.8849
1.4461,-3.9241,8.8777
1.4413,-3.9265,8.9136
1.4293,-3.9169,8.9328
1.4389,-3.9025,8.8849
1.4222,-3.9265,8.9064
1.4461,-3.948,8.916
1.4293,-3.9169,8.9016
1.4533,-3.9313,8.8729
1.4222,-3.9313,8.9088
1.4389,-3.9169,8.9208
1.4437,-3.9289,8.9304
1.4533,-3.9145,8.9232
1.4437,-3.9265,8.8897
1.4509,-3.9241,8.9112
1.4437,-3.9265,8.9232
1.4341,-3.9217,8.9184
1.4485,-3.9217,8.8777
1.415,-3.9217,8.904
1.4246,-3.9337,8.8969
1.4485,-3.9337,8.8873
1.4246,-3.9121,8.8777
1.4389,-3.9313,8.8897
1.4341,-3.9409,8.9184
1.4269,-3.9313,8.9399
1.4413,-3.9169,8.8969
1.4533,-3.9265,8.9016
1.4365,-3.9361,8.8992
1.4413,-3.9241,8.8969
1.4198,-3.9289,8.8992
1.4293,-3.9337,8.9399
1.4485,-3.9456,8.9184
1.4413,-3.9097,8.9232
1.4461,-3.9289,8.9064
1.4389,-3.9217,8.8897
1.4389,-3.9313,8.9136
1.4461,-3.9193,8.8873
1.4533,-3.9217,8.9064
1.4222,-3.9385,8.904
1.4509,-3.9145,8.9232
1.4365,-3.9289,8.8657
1.4509,-3.9265,8.8945
1.4246,-3.9121,8.8969
1.4581,-3.9169,8.9112
1.4485,-3.9289,8.9064
1.4509,-3.9169,8.9064
1.4317,-3.9193,8.9064
1.4341,-3.9385,8.9112
1.4317,-3.9289,8.9184
1.4653,-3.9313,8.904
1.4293,-3.9217,8.9376
1.4293,-3.9313,8.9136
1.4413,-3.9193,8.9064
1.4533,-3.9121,8.9064
1.4222,-3.9193,8.9256
1.4293,-3.9145,8.8753
1.4485,-3.9217,8.8969
1.4485,-3.9145,8.8945
1.4485,-3.9241,8.9256
1.4509,-3.9409,8.8801
1.4413,-3.9193,8.9016
1.4581,-3.9193,8.9064
1.4676,-3.9241,8.8849
1.4413,-3.9313,8.8945
1.4437,-3.9145,8.9136
1.4413,-3.9241,8.8921
1.4198,-3.9073,8.8801
1.4317,-3.9241,8.8897
1.4198,-3.9097,8.9256
1.4413,-3.9121,8.904
1.4365,-3.9121,8.9112
1.4461,-3.9265,8.8945
1.4341,-3.9385,8.9064
1.4437,-3.9409,8.9016
1.4509,-3.9241,8.9088
1.4437,-3.9361,8.9184
1.4485,-3.9337,8.9376
1.4389,-3.9241,8.928
1.4293,-3.9241,8.8969
1.4485,-3.9337,8.9064
1.4485,-3.9385,8.9112
1.4437,-3.9193,8.8969
1.4437,-3.9217,8.8945
1.4413,-3.9409,8.8921
1.4485,-3.9313,8.9232
1.4341,-3.9169,8.9064
1.4341,-3.9217,8.904
1.4317,-3.9265,8.904
1.4317,-3.9361,8.904
1.4293,-3.9217,8.928
1.4413,-3.9313,8.9088
1.4461,-3.9265,8.904
1.4269,-3.9289,8.8801
1.4389,-3.9169,8.8921
1.4461,-3.9337,8.9184
1.4437,-3.9289,8.9088
1.4269,-3.9241,8.9088
1.4341,-3.9289,8.9064
1.4198,-3.948,8.9232
1.4341,-3.9337,8.9399
1.4365,-3.9337,8.9208
1.4246,-3.9193,8.8945
1.4389,-3.9193,8.8945
1.4389,-3.9361,8.904
1.4365,-3.9241,8.9471
1.4293,-3.9145,8.9064
1.4341,-3.9217,8.916
1.4222,-3.9145,8.9256
1.4341,-3.9073,8.9232
1.4413,-3.9241,8.8945
1.4317,-3.9169,8.9016
1.4509,-3.9337,8.904
1.4317,-3.9265,8.9256
1.4365,-3.9121,8.8969
1.4389,-3.9241,8.9232
1.4437,-3.9433,8.8945
1.4222,-3.9241,8.9016
1.4485,-3.9265,8.9232
